Working on data:  bbbp
1026 117 142 285
Starting upsampling for data: bbbp
Model loaded!!
DisentGNN(
  (gnn): MultiViewGCN(
    (conv1): GCNConv(9, 32)
    (conv2): GCNConv(32, 64)
    (conv3): GCNConv(64, 64)
    (lin1): Linear(in_features=64, out_features=32, bias=True)
    (lin2): Linear(in_features=32, out_features=64, bias=True)
  )
  (mlp_z1): Linear(in_features=64, out_features=16, bias=True)
  (mlp_z2): Linear(in_features=64, out_features=16, bias=True)
  (lin1): Linear(in_features=16, out_features=32, bias=True)
  (lin2): Linear(in_features=16, out_features=32, bias=True)
  (target_lin): Linear(in_features=32, out_features=1, bias=True)
  (sensitive_lin): Linear(in_features=32, out_features=9, bias=True)
  (layer_norm_1): LayerNorm((1,), eps=1e-05, elementwise_affine=True)
  (layer_norm_2): LayerNorm((9,), eps=1e-05, elementwise_affine=True)
  (layer_norm_3): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
  (batch_norm): BatchNorm1d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
)
Criterion name:  pair_loss_cos
/scratch/zheng/conda/envs/my_env/lib/python3.8/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
Epoch: 24, trloss: 1.2524, trroc: 0.7780, trf1: 0.5651, tracc: 0.6873, valloss: 0.7782, valroc: 0.7675, valf1: 0.5612, valacc: 0.4786, testloss_1: 0.6830, testroc_1: 0.8345, testf1_1: 0.6923, testacc_1: 0.6056, testloss_2: 1.0621, testroc_2: 0.6796, testf1_2: 0.4562, testacc_2: 0.3895.
Epoch: 25, trloss: 1.2404, trroc: 0.7789, trf1: 0.7254, tracc: 0.7349, valloss: 0.5618, valroc: 0.7683, valf1: 0.7857, valacc: 0.6923, testloss_1: 0.5032, testroc_1: 0.8301, testf1_1: 0.8436, testacc_1: 0.7676, testloss_2: 0.8263, testroc_2: 0.6776, testf1_2: 0.6339, testacc_2: 0.5298.
Epoch: 26, trloss: 1.2022, trroc: 0.7835, trf1: 0.6866, tracc: 0.7370, valloss: 0.6446, valroc: 0.7678, valf1: 0.6883, valacc: 0.5897, testloss_1: 0.5624, testroc_1: 0.8393, testf1_1: 0.7817, testacc_1: 0.6972, testloss_2: 0.9055, testroc_2: 0.6744, testf1_2: 0.5852, testacc_2: 0.4877.
Epoch: 27, trloss: 1.1757, trroc: 0.7855, trf1: 0.6116, tracc: 0.7060, valloss: 0.7390, valroc: 0.7722, valf1: 0.6395, valacc: 0.5470, testloss_1: 0.6438, testroc_1: 0.8376, testf1_1: 0.7234, testacc_1: 0.6338, testloss_2: 1.0398, testroc_2: 0.6771, testf1_2: 0.5165, testacc_2: 0.4351.
Epoch: 28, trloss: 1.1675, trroc: 0.7922, trf1: 0.6918, tracc: 0.7418, valloss: 0.6481, valroc: 0.7691, valf1: 0.7051, valacc: 0.6068, testloss_1: 0.5575, testroc_1: 0.8431, testf1_1: 0.7879, testacc_1: 0.7042, testloss_2: 0.9157, testroc_2: 0.6632, testf1_2: 0.5852, testacc_2: 0.4877.
Epoch: 29, trloss: 1.1728, trroc: 0.7885, trf1: 0.6855, tracc: 0.6366, valloss: 0.4416, valroc: 0.7526, valf1: 0.8617, valacc: 0.7778, testloss_1: 0.3984, testroc_1: 0.8369, testf1_1: 0.8596, testacc_1: 0.7746, testloss_2: 0.6715, testroc_2: 0.6574, testf1_2: 0.7041, testacc_2: 0.5930.
Epoch: 30, trloss: 1.1753, trroc: 0.7907, trf1: 0.7101, tracc: 0.7263, valloss: 0.5755, valroc: 0.7590, valf1: 0.7758, valacc: 0.6838, testloss_1: 0.4898, testroc_1: 0.8400, testf1_1: 0.8406, testacc_1: 0.7676, testloss_2: 0.8758, testroc_2: 0.6596, testf1_2: 0.6267, testacc_2: 0.5193.
Epoch: 31, trloss: 1.1579, trroc: 0.7913, trf1: 0.7065, tracc: 0.7456, valloss: 0.6308, valroc: 0.7840, valf1: 0.7500, valacc: 0.6581, testloss_1: 0.5723, testroc_1: 0.8246, testf1_1: 0.7692, testacc_1: 0.6831, testloss_2: 0.9166, testroc_2: 0.6768, testf1_2: 0.5665, testacc_2: 0.4737.
Epoch: 32, trloss: 1.1522, trroc: 0.8030, trf1: 0.7112, tracc: 0.7344, valloss: 0.5980, valroc: 0.7750, valf1: 0.7421, valacc: 0.6496, testloss_1: 0.5207, testroc_1: 0.8503, testf1_1: 0.8350, testacc_1: 0.7606, testloss_2: 0.9159, testroc_2: 0.6668, testf1_2: 0.5955, testacc_2: 0.4947.
Epoch: 33, trloss: 1.1297, trroc: 0.8039, trf1: 0.7069, tracc: 0.7429, valloss: 0.6209, valroc: 0.7732, valf1: 0.7296, valacc: 0.6325, testloss_1: 0.5353, testroc_1: 0.8448, testf1_1: 0.8235, testacc_1: 0.7465, testloss_2: 0.9085, testroc_2: 0.6612, testf1_2: 0.5938, testacc_2: 0.4912.
Epoch: 34, trloss: 1.1285, trroc: 0.8034, trf1: 0.7205, tracc: 0.7467, valloss: 0.5807, valroc: 0.7737, valf1: 0.7758, valacc: 0.6838, testloss_1: 0.5086, testroc_1: 0.8468, testf1_1: 0.8293, testacc_1: 0.7535, testloss_2: 0.8297, testroc_2: 0.6632, testf1_2: 0.6000, testacc_2: 0.4947.
Epoch: 35, trloss: 1.1309, trroc: 0.7998, trf1: 0.6954, tracc: 0.7472, valloss: 0.6743, valroc: 0.7825, valf1: 0.7261, valacc: 0.6325, testloss_1: 0.5987, testroc_1: 0.8373, testf1_1: 0.7692, testacc_1: 0.6831, testloss_2: 0.9855, testroc_2: 0.6788, testf1_2: 0.5385, testacc_2: 0.4526.
